"시점",전국,수도권,지방,서울,서울,서울,서울,서울,서울,광역시,광역시,광역시,광역시,광역시,광역시,세종,도,도,도,도,도,도,도,도,도
"시점",소계,소계,소계,서울,도심권,동북권,동남권,서북권,서남권,부산,대구,인천,광주,대전,울산,소계,경기,강원,충북,충남,전북,전남,경북,경남,제주
"2011. 09",235.9,329.5,188.4,499.8,663.6,436.9,806.3,500.6,479.8,257.0,201.7,262.6,166.5,230.8,216.8,-,301.4,145.5,168.5,175.1,157.7,134.5,132.1,222.1,187.1
"2011. 10",233.2,333.1,191.8,505.4,647.1,442.6,850.0,500.3,482.4,258.3,203.7,263.3,166.0,241.5,215.2,-,301.9,142.0,172.7,178.3,166.6,136.9,134.3,224.4,183.5
"2011. 11",229.5,335.2,190.6,500.5,662.4,436.9,846.0,482.3,482.3,260.0,203.3,261.4,167.2,233.4,222.9,-,301.0,142.2,170.2,183.5,168.3,133.7,138.7,218.5,184.2
"2011. 12",226.2,340.1,187.2,512.2,652.7,430.3,868.7,504.8,477.7,252.9,208.4,256.3,166.9,235.7,221.1,-,300.9,138.9,175.8,176.6,158.9,133.1,138.6,213.2,178.6
"2012. 01",235.3,334.9,194.3,495.8,645.6,428.9,796.8,505.4,479.4,253.4,212.1,261.0,174.0,242.0,231.3,-,302.6,146.8,183.3,194.7,167.5,139.7,139.7,225.2,184.6
"2012. 02",231.1,325.2,195.3,490.1,607.3,420.5,813.2,485.9,475.3,257.1,209.7,259.1,172.4,237.2,236.3,-,294.8,148.0,180.1,190.6,165.2,135.8,139.2,221.6,176.8
"2012. 03",231.3,319.5,192.1,484.5,634.0,423.5,800.7,457.5,476.1,250.4,208.4,256.8,168.4,234.4,233.4,-,291.5,142.6,174.9,189.5,158.3,134.8,136.2,225.4,191.1
"2012. 04",231.6,318.1,194.6,494.2,610.8,417.4,879.8,471.6,453.8,252.7,210.3,251.7,168.7,226.0,236.7,-,285.9,142.1,175.7,192.2,158.3,133.0,136.5,220.1,179.3
"2012. 05",235.4,323.4,196.2,501.2,659.4,412.4,819.0,514.3,477.9,249.4,213.2,255.8,171.8,230.4,242.8,179.4,290.7,148.2,188.3,187.2,161.5,132.0,135.5,218.0,189.8
"2012. 06",228.4,311.5,194.4,474.5,634.8,400.0,831.9,486.5,457.5,253.1,214.7,250.0,173.5,225.9,239.9,174.1,284.4,149.2,182.1,186.4,159.0,135.5,140.1,205.8,191.5
"2012. 07",224.6,305.0,192.3,468.6,619.4,398.6,841.1,472.1,454.5,250.5,213.5,246.4,171.4,221.0,245.4,175.5,279.0,141.4,180.8,191.2,153.4,130.8,140.6,203.6,184.5
"2012. 08",227.1,302.5,193.9,457.1,609.3,401.3,771.9,453.4,446.4,252.0,216.2,245.2,175.3,225.9,235.6,173.0,277.3,140.7,178.2,189.2,158.5,138.5,144.6,211.4,189.9
"2012. 09",236.8,315.1,200.5,483.0,585.1,402.5,820.7,469.0,456.3,250.2,220.1,247.9,183.0,233.6,237.5,182.5,288.4,149.9,187.2,193.0,163.8,141.3,151.4,215.3,187.7
"2012. 10",241.4,325.5,202.7,487.6,639.8,405.6,813.6,485.5,462.4,257.1,223.3,247.4,181.9,241.2,249.5,188.5,294.6,149.1,185.3,196.4,163.6,141.7,150.2,219.1,191.9
"2012. 11",239.0,325.3,201.5,492.4,624.3,408.6,827.6,482.3,458.4,251.4,225.9,250.3,180.8,237.1,243.9,187.5,292.9,148.8,186.7,198.6,166.2,145.7,149.5,215.3,195.2
"2012. 12",235.7,325.3,199.1,492.2,612.3,402.3,810.4,483.1,459.5,249.9,225.7,250.0,177.5,237.1,250.9,175.7,294.2,145.8,185.3,192.6,152.2,130.4,151.6,215.4,174.4
"2013. 01",240.3,323.6,204.7,491.5,593.4,405.9,807.6,494.8,459.5,251.5,229.6,248.3,183.5,231.9,245.2,195.8,294.2,146.2,196.1,199.9,168.3,143.5,155.0,220.9,180.2
"2013. 02",242.0,325.9,202.6,495.5,617.3,409.4,821.7,506.6,452.7,250.6,228.3,250.0,182.4,235.4,238.4,184.6,294.5,150.0,186.7,194.7,166.0,138.8,154.3,220.2,182.4
"2013. 03",247.9,328.0,205.9,488.2,607.0,410.0,800.7,471.1,461.9,254.0,228.6,251.3,180.2,233.6,242.7,200.2,298.9,150.3,190.4,195.1,162.3,138.9,154.6,224.6,176.6
"2013. 04",252.3,331.2,210.6,482.5,595.6,410.1,842.7,488.0,458.3,260.3,234.8,251.8,183.5,234.0,247.7,199.4,303.4,150.1,193.9,200.3,163.0,141.9,158.9,227.2,183.3
"2013. 05",250.6,326.3,209.6,482.7,594.9,411.8,783.3,506.2,467.0,255.0,236.6,253.2,183.1,241.8,238.8,199.3,298.7,151.5,194.3,201.2,163.7,143.6,164.3,224.7,212.9
